Ticker
AA
ABBV
ABEV
ABT
ACB
ADT
AEG
AEO
AEP
AES
AFL
AG
AGI
AIG
AIM
AM
AMC
AMX
AR
ARMK
ATNM
ATUS
AUY
AVTR
AXP
AZN
BABA
BA
BAC
BB
BBD
BBVA
BE
BEN
BHC
BK
BKR
BMY
BP
BRFS
BSX
BWA
BX
C
CAG
CARR
CAT
CBL
CCL
CDE
CFG
CGC
CHGG
CHX
CIG
CIM
CL
CLF
CLNY
CLR
CNK
CNQ
CNP
CNX
COF
COG
COTY
COP
CPE
CPRI
CRM
CS
CTL
CTVA
CVE
CVX
CX
DAL
D
DB
DD
DFS
DHI
DHT
DIS
DOW
DRH
DRI
DUK
DVN
DXC
EGO
EMAN
EMR
ENB
ENLC
ENSV
EOG
EPD
EQH
EQNR
EQT
EROS
ETRN
EW
EXK
F
FCAU
FET
FHN
FIS
FIT
FLR
FRO
FSLY
FSM
FTCH
FTI
GCI
GE
GFI
GGB
GIS
GM
GLW
GME
GOLD
GRUB
GS
GSAT
GSK
GSX
GTE
HAL
HBI
HES
HEXO
HL
HLX
HLT
HMY
HOG
HPE
HPR
HPQ
HRB
HSBC
HST
HTZ
HWM
IAG
IBIO
IBM
IBN
ICE
ING
INFY
IPG
IP
IR
IRM
ITUB
IVZ
JCI
JMIA
JNPR
JNJ
JPM
JWN
KEY
KGC
KIM
KMI
KODK
KOS
KO
KSS
LB
LEN
LLY
LOW
LUV
LVS
LYV
M
MA
MAC
MAS
MCD
MDT
MET
MFA
MFC
MGM
MITT
MMM
MNK
MO
MOS
MPC
MPLX
MPW
MRO
MS
MRK
MT
MTDR
MTG
MUX
NAK
NAT
NBY
NCLH
NEM
NET
NGD
NI
NIO
NKE
NLSN
NLY
NOG
NOK
NRZ
O
OGEN
OIL
OKE
ORCL
OTIS
OVV
OSH
OXY
PACD
PBF
PBI
PBR
PCG
PE
PEAK
PFE
PGR
PHM
PINS
PK
PLD
PLM
PM
PRTY
PRU
PSTG
PSX
RAD
QD
RCL
RF
RIG
RKT
RMED
RPAI
RRC
SAN
SAVE
SCHW
SE
SHO
SLB
SM
SNAP
SO
SPCE
SPR
SQ
SSL
STWD
SU
SWN
SYY
T
TAL
TDOC
TECK
TEVA
TFC
TGT
TJX
TME
TPR
TRGP
TRXC
TSM
TSN
TTI
TUP
TWLO
TWO
TWTR
UA
UAA
UAVS
UBER
UBS
UNM
UPS
UNP
USB
USFD
V
VAL
VALE
VER
VICI
VIPS
VLO
VST
VTR
VXX
W
WFC
WLL
WMT
WORK
WPG
WPX
WTI
WY
X
XOM
ZOM
AAL
AAPL
ABUS
ADBE
ADTX
AGNC
AIKI
ALT
AMAT
AMD
AMRN
AMTD
AMZN
APA
APHA
ARCC
ATHX
ATVI
AVGR
AYRO
BBBY
BCRX
BIGC
BILI
BIOL
BKYI
BLNK
BNGO
BOWXU
BOXL
BYND
CAPR
CAR
CBAY
CDEV
CEMI
CETX
CHFS
CHNG
CIDM
CLSK
CLVS
CMCSA
COCP
COMM
CRON
CRWD
CSX
CTRM
CTSH
CZR
DDOG
DFFN
DGLY
DISCA
DISH
DKNG
DOCU
DVAX
EBAY
ENDP
ENPH
ERIC
ETFC
EXC
EXPE
FANG
FAST
FB
FCEL
FISV
FITB
FLEX
FLIR
FOXA
GENE
GHSI
GILD
GLBS
GLUU
GNPX
GOCO
GNUS
GPOR
GPRO
GT
HBAN
HTGM
IAC
IDEX
IMMU
INFN
INO
INPX
INSG
INTC
IQ
JBLU
JD
KHC
KSMTU
KTOV
LBTYK
LVGO
LYFT
MARA
MAR
MARK
MAT
MBRX
MCHP
MDLZ
MIST
MLCO
MNLO
MOMO
MRVL
MSFT
MU
MVIS
MYL
NAKD
NBL
NBRV
NKLA
NLOK
NOVN
NTEC
NUAN
NVAX
NVDA
NWL
NYMT
OCGN
OGI
ON
ONTX
OPGN
OPK
OSTK
PACB
PAAS
PBCT
PDD
PENN
PEP
PHUN
PLAY
PLUG
PTON
PYPL
QCOM
QRTEA
RIGL
ROKU
ROST
RUN
SABR
SBUX
SCON
SDC
SINT
SIRI
SLM
SOLO
SONO
SPWR
SRNE
STNE
SXTC
TBLT
TCOM
TELL
TMUS
TNXP
TOPS
TRIP
TSLA
TXMD
TXN
UAL
VBIV
VEON
VG
VISL
VOD
VSTM
VXRT
WDC
WBA
WEN
WIMI
WKHS
WTRH
XEL
Z
ZAGG
ZG
ZI
ZM
ZNGA
ZN
